timecreated,timemodified,assignmentid,assignmentname,courseid,coursename,userid,assessment_json
2017-03-27,2017-03-27,565,Perform using Power Tools Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002442 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002442 Skill definition__1740130606276.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002442 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002442 Participant worksheet__1740130657428.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,566,Perform using Power Tools Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002442 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002442 Skill definition__1740130606276.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002442 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002442 Participant worksheet__1740130657428.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,585,State of Charge Test Workorder 1,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002015 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002015 Skill definition__1740130463037.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002015 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002015 Participant worksheet__1740130546650.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,586,State of Charge Test Workorder 2,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002015 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002015 Skill definition__1740130463037.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002015 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002015 Participant worksheet__1740130546650.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,587,State of Charge Test Workorder 3,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002015 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002015 Skill definition__1740130463037.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002015 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002015 Participant worksheet__1740130546650.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,588,Charging Alternator Output Test Workorder 1,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002018 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002018 Skill definition__1740130519422.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002018 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002018 Participant worksheet__1740130624629.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,591,Diagnostics test in ETR/ETS system Workorder 1,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002004 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002004 Skill definition__1740130828935.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002004 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002004 Participant worksheet__1740130531040.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,594,Starting system Test Workorder 1,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002019 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002019 Skill definition__1740130760278.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002019 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002019 Participant worksheet__1740130631654.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,597,Basic Electrical Measurement Workorder 1,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002002 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002002 Skill definition__1740130474913.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002002 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002002 Participant worksheet__1740130455897.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,598,Basic Electrical Measurement Workorder 2,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002002 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002002 Skill definition__1740130474913.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002002 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002002 Participant worksheet__1740130455897.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,599,Basic Electrical Measurement Workorder 3,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002002 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002002 Skill definition__1740130474913.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002002 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002002 Participant worksheet__1740130455897.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,600,"Service tasks on Gauges,senders and switches Workorder 1",709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002008 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002008 Skill definition__1740130485629.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002008 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002008 Participant worksheet__1740130529944.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,601,"Service tasks on Gauges,senders and switches Workorder 2",709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002008 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002008 Skill definition__1740130485629.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002008 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002008 Participant worksheet__1740130529944.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,602,"Service tasks on Gauges,senders and switches Workorder 3",709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002008 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002008 Skill definition__1740130485629.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002008 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002008 Participant worksheet__1740130529944.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,603,Visual Inspection of Batteries Workorder 1,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002016 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002016 Skill definition__1740130753066.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002016 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002016 Participant worksheet__1740130484400.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-28,2017-03-28,604,Visual Inspection of Batteries Workorder 2,709,Electrical Level 0 Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002016 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002016 Skill definition__1740130753066.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002016 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002016 Participant worksheet__1740130484400.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
